,id,year,prod,ce,fiscal,emp,fert,mach,pest,area,eco,water
201,15,2011,3737.04,0.184654436,564,1981.21,473.6,12098.3,164812,10865.4,NA,148.92
202,16,2011,3553.25,0.194496834,480.48,2655.29,673.7,10515.8,128747,14258.6,NA,124.6
203,17,2011,2244.55,0.136124197,376.23,885.63,354.9,3571.2,139524,8009.6,NA,142.26
204,18,2011,2089.89,0.218407275,394.26,1863.91,242.5,4935.6,120431,8402,NA,183.12
205,19,2011,1910.21,0.360510945,420.34,1402.33,241.3,2414.8,114082,4572,NA,224.16
206,20,2011,1602.48,0.201351406,314.86,1546.23,242.7,3033.1,66229,5996.5,NA,193.21
207,21,2011,395.46,0.221964303,105.63,208.73,47.7,444.3,46854,838.3,NA,33.84
208,22,2011,717.28,0.128775938,198.91,604.04,95.6,1140.3,20324,3413.1,NA,23.62
209,23,2011,2454.26,0.230372108,545.7,2086.16,251.2,3426.1,61910,9565.6,NA,128.44
210,24,2011,655.71,0.126832679,278.47,1165.32,94.1,1851.4,14469,5021.2,NA,49.7
211,25,2011,1108.74,0.142067831,409.8,1646.28,200.5,2628.4,48157,6667.5,NA,96.08
212,26,2011,49.62,1.271218101,126.53,91.88,4.8,427.9,963,241.4,NA,27.37
213,27,2011,1350.68,0.061875703,333.79,822.17,207.3,2182.9,12410,4181,NA,56.22
214,28,2011,688.56,0.083683238,237.66,715.42,87.2,2136.5,68413,4094.8,NA,93.84
215,29,2011,102.91,0.693525065,104.74,118.11,8.3,430.7,1995,547.7,NA,23.48
216,30,2011,219.2,0.078191493,112.19,123.94,38.2,768.7,2692,1260.4,NA,66.12
217,31,2011,1450.67,0.077254236,297.59,402.4,183.7,1796.7,19340,4983.5,NA,488.41
218,1,2010,154.22,0.464630143,158.64,60.12,13.7,276,3972,317.3,128,10.83
219,2,2010,149.52,0.17371179,67.14,73.85,25.5,587.8,3721,459.3,81,10.97
220,3,2010,2470.11,0.147598274,312.66,1458.33,322.9,10151.3,84615,8718.4,527,143.77
221,4,2010,629.96,0.044902283,201.71,632.44,110.4,2809.2,26107,3763.9,544,37.98
222,5,2010,916.1,0.097213726,281,540.53,177.2,3033.6,24302,7002.5,397,134.52
223,6,2010,1071.03,0.163912338,289,663.56,140.1,2248.7,69375,4073.8,295,89.82
224,7,2010,791.33,0.100209615,238.94,501.85,182.8,2145,42784,5221.4,559,73.84
225,8,2010,1320.08,0.424951815,338.06,677.52,214.9,3736.3,73755,12156.2,108,249.6
226,9,2010,159.98,0.254885922,151.93,34.06,11.8,104.1,7038,401.2,29,16.76
227,10,2010,2256.99,0.125895491,489.16,859.83,341.1,3937.3,90126,7619.6,449,304.23
228,11,2010,1023.02,0.152098416,290.37,627.43,92.2,2427.5,65075,2484.7,33,94.64
229,12,2010,1477.3,0.106822822,292.52,1521.85,319.8,5409.8,116645,9053.4,314,166.7
230,13,2010,899.39,0.22855377,160.34,623.73,121,1206.2,58238,2270.8,319,97.19
231,14,2010,810.68,0.19050645,232.34,851.41,137.6,3805,106530,5457.7,482,151.02
232,15,2010,3588.42,0.207014205,465.98,1993.42,475.3,11629,164924,10818.2,652,154.76
233,16,2010,3504.07,0.21330547,399.19,2698.45,655.2,10195.9,124867,14248.7,916,125.59
234,17,2010,1883.22,0.142819808,305.44,900.14,350.8,3371,139969,7997.6,466,138.29
235,18,2010,1848.89,0.230932561,322.65,1861.85,236.6,4651.5,118762,8216.1,542,185.79
